Year,Production,Cumulative
1969,0.4,0.4
1970,4.2,4.6
1971,9.2,13.9
1972,21.2,35.0
1973,36.9,71.9
1974,59.6,131.6
1975,86.2,217.8
1976,107.7,325.5
1977,130.0,455.5
1978,143.5,599.0
1979,153.5,752.6
1980,158.9,911.5
1981,154.3,1065.7
1982,142.6,1208.3
1983,138.5,1346.8
1984,128.8,1475.6
1985,111.0,1586.6
1986,110.6,1697.3
1987,100.6,1797.9
1988,88.4,1886.2
1989,79.5,1965.7
1990,65.0,2030.7
1991,49.4,2080.1
1992,36.8,2116.8
1993,30.8,2147.6
1994,27.5,2175.1
1995,24.5,2199.6
1996,22.6,2222.3
1997,21.9,2244.2
1998,21.2,2265.3
1999,21.2,2286.5
2000,20.8,2307.3
2001,23.0,2330.3
2002,23.8,2354.1
2003,26.0,2380.0
2004,29.7,2409.7
2005,32.3,2442.0
2006,30.8,2472.9
2007,30.8,2503.7
2008,30.4,2534.1
2009,31.2,2565.3
2010,30.8,2596.1
2011,30.4,2626.6
2012,25.4,2652.0
2013,23.5,2675.5
2014,21.8,2697.3
2015,20.9,2718.2
2016,20.1,2738.3
2017,19.3,2757.5
2018,18.5,2776.0
2019,17.8,2793.8
2020,17.0,2810.8
2021,16.4,2827.2
2022,15.7,2842.9
2023,15.1,2858.0
2024,14.5,2872.4
2025,13.9,2886.3
2026,13.3,2899.7
2027,12.8,2912.5
2028,12.3,2924.8
2029,11.8,2936.6
2030,11.3,2947.9
2031,10.9,2958.8
2032,10.4,2969.2
2033,10.0,2979.2
2034,9.6,2988.9
2035,9.2,2998.1
2036,8.9,3007.0
2037,8.5,3015.5
2038,8.2,3023.7
2039,7.8,3031.5
2040,7.5,3039.0
2041,7.2,3046.3
2042,6.9,3053.2
2043,6.7,3059.9
2044,6.4,3066.3
2045,6.1,3072.4
2046,5.9,3078.3
2047,5.7,3084.0
2048,5.4,3089.4
2049,5.2,3094.6
2050,5.0,3099.6
2051,4.8,3104.4
2052,4.6,3109.1
2053,4.4,3113.5
2054,4.3,3117.7
2055,4.1,3121.8
2056,3.9,3125.7
2057,3.8,3129.5
2058,3.6,3133.1
2059,3.5,3136.6
2060,3.3,3139.9
2061,3.2,3143.1
2062,3.1,3146.2
2063,2.9,3149.1
2064,2.8,3152.0
2065,2.7,3154.7
2066,2.6,3157.3
2067,2.5,3159.8
2068,2.4,3162.2
2069,2.3,3164.5
2070,2.2,3166.7
2071,2.1,3168.8
2072,2.0,3170.9
2073,2.0,3172.8
2074,1.9,3174.7
2075,1.8,3176.5
2076,1.7,3178.2
2077,1.7,3179.9
2078,1.6,3181.5
2079,1.5,3183.0
2080,1.5,3184.5
2081,1.4,3185.9
2082,1.4,3187.3
2083,1.3,3188.6
2084,1.2,3189.8
2085,1.2,3191.0
2086,1.2,3192.2
2087,1.1,3193.3
2088,1.1,3194.3
2089,1.0,3195.4
2090,1.0,3196.3
2091,0.9,3197.3
2092,0.9,3198.2
2093,0.9,3199.0
2094,0.8,3199.9
2095,0.8,3200.7
2096,0.8,3201.4
2097,0.7,3202.2
2098,0.7,3202.9
2099,0.7,3203.6
