#,,,,,,,
# Oil production in Bakken,,,,,,,
# million barrels per day,,,,,,,
#,,,,,,,
Year,AEO2014,AEO2015,AEO2016,Hughes2014,Actual,Wells_Plan,Wells_Actual
2000,0.019,0.019,0.019,0.019,0.019,45,45
2001,0.015,0.015,0.015,0.015,0.015,145,145
2002,0.015,0.015,0.015,0.015,0.015,245,245
2003,0.019,0.019,0.019,0.019,0.019,245,245
2004,0.034,0.034,0.034,0.034,0.034,245,245
2005,0.050,0.050,0.050,0.050,0.050,245,245
2006,0.065,0.065,0.065,0.065,0.065,551,551
2007,0.077,0.077,0.077,0.077,0.077,613,613
2008,0.107,0.107,0.107,0.107,0.107,1103,1103
2009,0.172,0.172,0.172,0.172,0.172,1470,1470
2010,0.268,0.268,0.268,0.268,0.268,2266,2266
2011,0.383,0.383,0.383,0.383,0.364,3124,3124
2012,0.681,0.658,0.658,0.658,0.658,4900,4900
2013,0.835,0.835,0.835,0.835,0.819,6983,6799
2014,0.942,1.087,1.087,1.087,1.087,9495,9005
2015,1.038,1.237,1.187,1.187,1.187,11577,10781
2016,1.072,1.336,0.930,1.175,-999.250,13231,11516
2017,1.064,1.474,0.923,1.145,-999.250,14885,-999
2018,1.053,1.581,1.141,1.087,-999.250,16478,-999
2019,1.030,1.650,1.306,1.026,-999.250,18438,-999
2020,1.018,1.692,1.428,0.957,-999.250,20031,-999
2021,1.003,1.708,1.516,0.896,-999.250,21440,-999
2022,0.972,1.711,1.612,0.835,-999.250,22910,-999
2023,0.957,1.719,1.719,0.770,-999.250,24135,-999
2024,0.923,1.719,1.838,0.712,-999.250,25482,-999
2025,0.896,1.708,1.926,0.655,-999.250,26708,-999
2026,0.865,1.612,2.048,0.605,-999.250,27871,-999
2027,0.827,1.547,2.129,0.544,-999.250,28974,-999
2028,0.789,1.508,2.217,0.494,-999.250,30138,-999
2029,0.743,1.474,2.286,0.448,-999.250,31118,-999
2030,0.716,1.432,2.312,0.410,-999.250,31547,-999
2031,0.678,1.332,2.370,0.329,-999.250,31669,-999
2032,0.651,1.244,2.412,0.272,-999.250,31485,-999
2033,0.620,1.240,2.462,0.211,-999.250,31547,-999
2034,0.593,1.294,2.381,0.168,-999.250,31485,-999
2035,0.563,1.344,2.366,0.130,-999.250,31424,-999
2036,0.536,1.390,2.370,0.103,-999.250,31424,-999
2037,0.517,1.432,2.347,0.080,-999.250,31547,-999
2038,0.482,1.447,2.289,0.057,-999.250,31485,-999
2039,0.459,1.466,2.278,0.046,-999.250,31424,-999
2040,0.448,1.482,2.266,0.042,-999.250,31424,-999
