year,WORLD
1800,0.000
1801,0.000
1802,0.000
1803,0.000
1804,0.000
1805,0.000
1806,0.000
1807,0.000
1808,0.000
1809,0.000
1810,0.000
1811,0.000
1812,0.000
1813,0.000
1814,0.000
1815,0.000
1816,0.000
1817,0.000
1818,0.000
1819,0.000
1820,0.000
1821,0.000
1822,0.000
1823,0.000
1824,0.000
1825,0.000
1826,0.000
1827,0.000
1828,0.000
1829,0.000
1830,0.000
1831,0.000
1832,0.000
1833,0.000
1834,0.000
1835,0.000
1836,0.000
1837,0.000
1838,0.000
1839,0.000
1840,0.000
1841,0.000
1842,0.000
1843,0.000
1844,0.000
1845,0.000
1846,0.000
1847,0.000
1848,0.000
1849,0.000
1850,0.000
1851,0.000
1852,0.000
1853,0.000
1854,0.000
1855,0.000
1856,0.000
1857,0.000
1858,0.000
1859,0.000
1860,0.000
1861,0.000
1862,0.000
1863,0.000
1864,0.000
1865,0.000
1866,0.000
1867,0.000
1868,0.000
1869,0.000
1870,0.000
1871,0.000
1872,0.000
1873,0.000
1874,0.000
1875,0.000
1876,0.000
1877,0.000
1878,0.000
1879,0.000
1880,0.000
1881,0.000
1882,0.000
1883,0.000
1884,0.000
1885,0.000
1886,0.000
1887,0.000
1888,0.000
1889,0.000
1890,0.000
1891,0.000
1892,0.000
1893,0.000
1894,0.000
1895,0.000
1896,0.000
1897,0.000
1898,0.000
1899,0.000
1900,0.000
1901,0.000
1902,0.000
1903,0.000
1904,0.000
1905,0.000
1906,0.000
1907,0.000
1908,0.000
1909,0.000
1910,0.000
1911,0.000
1912,0.000
1913,0.000
1914,0.000
1915,0.000
1916,0.000
1917,0.000
1918,0.000
1919,0.000
1920,0.000
1921,0.000
1922,0.000
1923,0.000
1924,0.000
1925,0.000
1926,0.000
1927,0.000
1928,0.000
1929,0.000
1930,0.000
1931,0.000
1932,0.000
1933,0.000
1934,0.000
1935,0.000
1936,0.000
1937,0.000
1938,0.000
1939,0.000
1940,0.000
1941,0.000
1942,0.000
1943,0.000
1944,0.000
1945,0.000
1946,0.000
1947,0.000
1948,0.000
1949,0.000
1950,2536.275
1951,2583.817
1952,2630.584
1953,2677.230
1954,2724.302
1955,2772.243
1956,2821.383
1957,2871.952
1958,2924.081
1959,2977.825
1960,3033.213
1961,3090.305
1962,3149.244
1963,3210.271
1964,3273.671
1965,3339.593
1966,3408.121
1967,3479.054
1968,3551.881
1969,3625.906
1970,3700.578
1971,3775.791
1972,3851.545
1973,3927.539
1974,4003.448
1975,4079.087
1976,4154.288
1977,4229.201
1978,4304.377
1979,4380.586
1980,4458.412
1981,4537.846
1982,4618.776
1983,4701.531
1984,4786.484
1985,4873.782
1986,4963.633
1987,5055.636
1988,5148.557
1989,5240.735
1990,5330.943
1991,5418.759
1992,5504.401
1993,5588.095
1994,5670.320
1995,5751.474
1996,5831.565
1997,5910.566
1998,5988.846
1999,6066.867
2000,6145.007
2001,6223.412
2002,6302.150
2003,6381.409
2004,6461.371
2005,6542.159
2006,6623.848
2007,6706.419
2008,6789.771
2009,6873.741
2010,6958.169
2011,7043.009
2012,7128.177
2013,7213.426
2014,7298.453
2015,7383.009
2016,7466.964
2017,7550.262
2018,7632.819
2019,7714.577
2020,7795.482
2021,7875.465
2022,7954.469
2023,8032.487
2024,8109.533
2025,8185.614
2026,8260.710
2027,8334.802
2028,8407.900
2029,8480.027
2030,8551.199
2031,8621.416
2032,8690.674
2033,8758.973
2034,8826.316
2035,8892.702
2036,8958.127
2037,9022.590
2038,9086.104
2039,9148.684
2040,9210.337
2041,9271.063
2042,9330.846
2043,9389.656
2044,9447.455
2045,9504.210
2046,9559.909
2047,9614.545
2048,9668.093
2049,9720.526
2050,9771.823
2051,9821.979
2052,9870.996
2053,9918.868
2054,9965.592
2055,10011.171
2056,10055.610
2057,10098.926
2058,10141.161
2059,10182.370
2060,10222.598
2061,10261.868
2062,10300.193
2063,10337.605
2064,10374.135
2065,10409.808
2066,10444.647
2067,10478.663
2068,10511.867
2069,10544.259
2070,10575.847
2071,10606.640
2072,10636.652
2073,10665.879
2074,10694.317
2075,10721.964
2076,10748.826
2077,10774.916
2078,10800.249
2079,10824.841
2080,10848.708
2081,10871.858
2082,10894.299
2083,10916.050
2084,10937.133
2085,10957.566
2086,10977.356
2087,10996.502
2088,11015.005
2089,11032.858
2090,11050.055
2091,11066.593
2092,11082.465
2093,11097.668
2094,11112.194
2095,11126.033
2096,11139.173
2097,11151.597
2098,11163.286
2099,11174.219
2100,11184.368
